date,day,total,temp,공휴일,cloud,month,NightOpen,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
8월 7일,수,20407 ,27.9,0,7.5,8,0,0,0,0,2013,0,0
8월 8일,목,17392 ,28.3,0,7.4,8,0,0,0,0,2013,0,0
8월 9일,금,16598 ,28,0,9.9,8,0,0,0,0,2013,0,0
8월 10일,토,18500 ,26.7,0,7.1,8,0,2,0,0,2013,1,1
8월 11일,일,19205 ,27.9,0,5.8,8,0,0,0,0,2013,1,1
8월 12일,월,20676 ,28.9,0,5.3,8,0,0,0,0,2013,0,0
8월 13일,화,0 ,28.6,0,4.8,8,0,0,10,0,2013,0,0
8월 14일,수,18023 ,28,0,5,8,0,0,0,0,2013,0,0
8월 15일,목,21878 ,27.7,1,6.6,8,0,0,0,0,2013,1,1
8월 16일,금,18935 ,27.9,0,7.5,8,0,4.5,0,0,2013,0,0
8월 17일,토,21039 ,27.7,0,7.5,8,0,0,0,0,2013,1,1
8월 18일,일,16752 ,27.2,0,9.8,8,0,13,0,0,2013,1,1
8월 19일,월,13497 ,27.3,0,4.9,8,0,6,0,0,2013,0,0
8월 20일,화,0 ,26.6,0,3,8,0,0,10,0,2013,0,0
8월 21일,수,19719 ,27.9,0,3.8,8,0,0,0,0,2013,0,0
8월 22일,목,15649 ,28.7,0,6.8,8,0,0,0,0,2013,0,0
8월 23일,금,13163 ,24.5,0,8.3,8,0,35,0,0,2013,0,0
8월 24일,토,18052 ,25.7,0,2.4,8,0,0,0,0,2013,1,1
8월 25일,일,15777 ,26.1,0,4.1,8,0,0,0,0,2013,1,1
8월 26일,월,13482 ,25.9,0,1.6,8,0,0,0,0,2013,0,0
8월 27일,화,0 ,24.8,0,2.4,8,0,0,10,0,2013,0,0
8월 28일,수,15285 ,25.4,0,5.4,8,0,0,0,0,2013,0,0
8월 29일,목,9051 ,23.9,0,9.4,8,0,21.5,0,0,2013,0,0
8월 30일,금,12541 ,24.2,0,5.1,8,0,0,0,0,2013,0,0
8월 31일,토,14980 ,22.7,0,5.6,8,0,2.5,0,0,2013,1,1
9월 1일,일,12275 ,23.1,0,3,9,0,0,0,0,2013,1,1
9월 2일,월,11481 ,21.7,0,2.9,9,0,0,0,0,2013,0,0
9월 3일,화,0 ,21.1,0,1.5,9,0,0,10,0,2013,0,0
